29Q Elias terrace,,Ready to move,5500,5,5,4371 sqft,S$ 1.26 psf,Cluster House,Fully Furnished,,24m
Bella Vista,3 Sommerville Road,Ready to move,1000,,,200 sqft,S$ 5.00 psf,Apartment,Fully Furnished,2009,24m
The Belvedere,53 Meyer Road,Ready to move,3800,2,2,1012 sqft,S$ 3.75 psf,Condominium,Partially Furnished,2008,25m
One-north Residences,9 One-North Gateway,Ready to move,3100,1,1,900 sqft,S$ 3.44 psf,Apartment,Partially Furnished,2009,25m
City square Residence,14 Kitchener link,Ready to move,5100,4,3,1518 sqft,S$ 3.36 psf,Condominium,Partially Furnished,,25m
Pandan Valley,1 Pandan Valley,Ready to move,3800,3,3,2000 sqft,S$ 1.90 psf,Condominium,Unfurnished,1979,25m
245 Serangoon Avenue 2,245 Serangoon Avenue 2,Ready to move,700,,,150 sqft,S$ 4.67 psf,HDB Apartment,Fully Furnished,,25m
The Belvedere,53 Meyer Road,Ready to move,3800,2,2,1012 sqft,S$ 3.75 psf,Condominium,Partially Furnished,2008,25m
One-north Residences,9 One-North Gateway,Ready to move,3100,1,1,900 sqft,S$ 3.44 psf,Apartment,Partially Furnished,2009,25m
City square Residence,14 Kitchener link,Ready to move,5100,4,3,1518 sqft,S$ 3.36 psf,Condominium,Partially Furnished,,25m
Pandan Valley,1 Pandan Valley,Ready to move,3800,3,3,2000 sqft,S$ 1.90 psf,Condominium,Unfurnished,1979,25m
245 Serangoon Avenue 2,245 Serangoon Avenue 2,Ready to move,700,,,150 sqft,S$ 4.67 psf,HDB Apartment,Fully Furnished,,25m
Cyan,6 Keng Chin Road,Ready to move,3000,1,1,657 sqft,S$ 4.57 psf,Condominium,Partially Furnished,2014,26m
La Fiesta,68 Sengkang Square,Ready to move,4800,4,4,1421 sqft,S$ 3.38 psf,Condominium,Partially Furnished,2016,26m
Sunglade,1 Serangoon Avenue 2,Ready to move,900,,,150 sqft,S$ 6.00 psf,Condominium,Fully Furnished,2003,26m
155 Hougang Street 11,155 Hougang Street 11,Ready to move,750,,,90 sqft,S$ 8.33 psf,HDB Apartment,,,26m
Everitt Edge,83 Joo Chiat Place,Ready to move,2500,2,2,650 sqft,S$ 3.85 psf,Condominium,Fully Furnished,2015,26m
Ardmore Park,9 Ardmore Park,Available from 1 Apr,17000,4,4,2885 sqft,S$ 5.89 psf,Condominium,Partially Furnished,2001,26m
Caribbean @ Keppel Bay,22 Keppel Bay Drive,Ready to move,4500,2,2,1076 sqft,S$ 4.18 psf,Condominium,Partially Furnished,2004,26m
Reflections @ Keppel Bay,25 Keppel Bay View,Available from 15 Mar,4500,2,2,1012 sqft,S$ 4.45 psf,Condominium,Fully Furnished,2013,26m
Dover Parkview,30 Dover Rise,Ready to move,4100,3,3,1291 sqft,S$ 3.18 psf,Condominium,Fully Furnished,1997,26m
Caribbean @ Keppel Bay,12 Keppel Bay Drive,Available from 1 May,11000,3,3,2583 sqft,S$ 4.26 psf,Condominium,Fully Furnished,2004,26m
Caribbean @ Keppel Bay,32 Keppel Bay Drive,Ready to move,5500,3,2,1206 sqft,S$ 4.56 psf,Condominium,Fully Furnished,2004,26m
