Two storey inter terrace (Well maintained),Sunrise Way,Ready to move,3150,3,3,2100 sqft 1700 sqft (land),S$ 1.85 psf,Terraced House,Unfurnished,,2h
Jalan Lim Tai See Semi D,Jalan Lim Tai See,Ready to move,5700,5,4,2800 sqft 2400 sqft (land),S$ 2.38 psf,Semi-Detached House,Unfurnished,,2h
Neptune Court,5 Marine Vista,Available from 22 Apr,3500,3,2,1636 sqft,S$ 2.14 psf,Apartment,Fully Furnished,1975,2h
The Heliconia,30 Jalan Daud,Ready to move,3000,3,3,1335 sqft,S$ 2.25 psf,Condominium,Fully Furnished,2003,2h
520 Serangoon North Avenue 4,520 Serangoon North Avenue 4,Ready to move,2600,3,2,1582 sqft,S$ 1.64 psf,HDB Apartment,Fully Furnished,,2h
Niven Suites,8 Wilkie Terrace,Ready to move,4000,2,2,1600 sqft,S$ 2.50 psf,Condominium,Fully Furnished,2009,2h
Suites @ Cairnhill,138 Cairnhill Road,Ready to move,8000,4,4,1830 sqft,S$ 4.37 psf,Condominium,Partially Furnished,2010,2h
852 Yishun Street 81,852 Yishun Street 81,Ready to move,800,1,,280 sqft,S$ 2.86 psf,HDB Apartment,Fully Furnished,,2h
Suites @ Cairnhill,138 Cairnhill Road,Ready to move,6000,2,2,1184 sqft,S$ 5.07 psf,Condominium,Partially Furnished,2010,2h
Spring Grove,53 Grange Road,Ready to move,3800,2,2,1012 sqft,S$ 3.75 psf,Condominium,Fully Furnished,1996,2h
Esparina Residences,125 Compassvale Bow,Ready to move,3000,3,2,1001 sqft,S$ 3.00 psf,Executive Condominium,Partially Furnished,2014,2h
602 Hougang Avenue 4,602 Hougang Avenue 4,Available from 28 Mar,2200,3,2,1100 sqft,S$ 2.00 psf,HDB Apartment,Fully Furnished,,2h
Verdana Villas @ Serangoon Garden,1 Grace Walk,Available from 1 Apr,8000,5,6,4370 sqft,S$ 1.83 psf,Cluster House,Partially Furnished,2014,2h
Casa Merah,60 Tanah Merah Kechil Avenue,Ready to move,4500,4,3,1550 sqft,S$ 2.90 psf,Condominium,Partially Furnished,2009,2h
Airstream,26 St Michael's Road,Ready to move,2000,1,1,484 sqft,S$ 4.13 psf,Condominium,Fully Furnished,2014,2h
The Trizon,8 Ridgewood Close,Ready to move,4300,2,2,1044 sqft,S$ 4.12 psf,Condominium,Partially Furnished,2013,2h
Rochelle @ Newton,188 Keng Lee Road,Ready to move,4300,2,2,1012 sqft,S$ 4.25 psf,Condominium,Partially Furnished,2013,2h
Trilight,9 Newton Road,Ready to move,5000,2,2,1109 sqft,S$ 4.51 psf,Condominium,Partially Furnished,2012,2h
The Centris,65 Jurong West Central 3,Ready to move,1100,,,120 sqft,S$ 9.17 psf,Apartment,,2009,2h
The Marbella,29 Mount Sinai Rise,Available from 1 Apr,4500,2,3,1475 sqft,S$ 3.05 psf,Condominium,Partially Furnished,2005,2h
Regentville,2 Hougang Street 92,Available from 15 Apr,2800,3,3,1152 sqft,S$ 2.43 psf,Condominium,Partially Furnished,2000,2h
Sims Urban Oasis,10 Sims Drive,Available from 11 Mar,2300,1,1,560 sqft,S$ 4.11 psf,Condominium,,2020,2h
Kingsford Waterbay,Upper Serangoon View,Ready to move,1800,1,1,500 sqft,S$ 3.60 psf,Apartment,Fully Furnished,2017,2h
Millage,55 Changi Road,Ready to move,2400,1,1,936 sqft,S$ 2.56 psf,Condominium,Partially Furnished,2016,2h
The Sail @ Marina Bay,4 Marina Boulevard,Ready to move,3100,1,1,670 sqft,S$ 4.63 psf,Condominium,Partially Furnished,2008,2h
Kingsford Waterbay,Upper Serangoon View,Ready to move,1800,1,1,500 sqft,S$ 3.60 psf,Apartment,Fully Furnished,2017,2h
Millage,55 Changi Road,Ready to move,2400,1,1,936 sqft,S$ 2.56 psf,Condominium,Partially Furnished,2016,2h
The Sail @ Marina Bay,4 Marina Boulevard,Ready to move,3100,1,1,670 sqft,S$ 4.63 psf,Condominium,Partially Furnished,2008,2h
Northoaks,20 Woodlands Cresent,Ready to move,2650,3,3,1248 sqft,S$ 2.12 psf,Condominium,Fully Furnished,2001,2h
Cuscaden Residences,26 Cuscaden Road,Ready to move,5800,3,2,1485 sqft,S$ 3.91 psf,Condominium,Partially Furnished,2002,2h
City Square Residences,8 Kitchener Link,Available from 8 Apr,3600,2,2,840 sqft,S$ 4.29 psf,Condominium,Fully Furnished,2009,2h
The Vales,85 Anchorvale Crescent,Ready to move,900,,,1200 sqft,S$ 0.75 psf,Executive Condominium,Fully Furnished,2018,2h
Grande Vista,2 Cactus Drive,Ready to move,3200,3,2,1700 sqft,S$ 1.88 psf,Condominium,Partially Furnished,1993,2h
Blossoms @ Woodleigh,12 Woodleigh Close,Ready to move,3200,2,2,1001 sqft,S$ 3.20 psf,Condominium,Partially Furnished,2007,2h
Tan Chin Tuan Mansion,42 Cairnhill Road,,15000,4,4,3900 sqft,S$ 3.85 psf,Condominium,Partially Furnished,2008,2h
Caribbean @ Keppel Bay,12 Keppel Bay Drive,Ready to move,5800,3,3,1249 sqft,S$ 4.64 psf,Condominium,Partially Furnished,2004,2h
329 Tah Ching Road,329 Tah Ching Road,Ready to move,2300,3,2,1302 sqft,S$ 1.77 psf,HDB Apartment,Fully Furnished,,2h
Guilin View,28 Bukit Batok Street 52,Ready to move,2450,2,2,861 sqft,S$ 2.85 psf,Condominium,Fully Furnished,2000,2h
385 Bukit Batok West Avenue 5,385 Bukit Batok West Avenue 5,Ready to move,2000,3,2,1000 sqft,S$ 2.00 psf,HDB Apartment,Fully Furnished,,2h
Wandervale,Choa Chu Kang Avenue 3,Ready to move,800,,,80 sqft,S$ 10.00 psf,Executive Condominium,Fully Furnished,2019,2h
Gallop Gables,70 Farrer Road,Ready to move,9500,5,5,2658 sqft,S$ 3.57 psf,Condominium,Partially Furnished,1997,2h
The Cascadia,921 Bukit Timah Road,Ready to move,5300,4,2,1500 sqft,S$ 3.53 psf,Condominium,Fully Furnished,2011,2h
Dunman View,102 Haig Road,Ready to move,3300,3,3,1236 sqft,S$ 2.67 psf,Condominium,,2004,2h
Balmoral Hills,9 Balmoral Park,Ready to move,8500,4,4,3165 sqft,S$ 2.69 psf,Condominium,Partially Furnished,2007,2h
Leonie Gardens,23 Leonie Hill,Ready to move,11500,5,5,3261 sqft,S$ 3.53 psf,Condominium,Partially Furnished,1993,2h
114 Bukit Batok West Avenue 6,114 Bukit Batok West Avenue 6,Ready to move,2300,3,2,1194 sqft,S$ 1.93 psf,HDB Apartment,,,2h
469 Choa Chu Kang Avenue 3,469 Choa Chu Kang Avenue 3,Ready to move,325,,,200 sqft,S$ 1.62 psf,HDB Apartment,Fully Furnished,,2h
TANGLIN GOOD CLASS BUNGALOW,,Ready to move,32000,5,7,10000 sqft 22000 sqft (land),S$ 1.45 psf,Good Class Bungalow,Partially Furnished,,2h
TANGLIN GOOD CLASS BUNGALOW,CHATSWORTH ROAD,Ready to move,28000,5,5,9000 sqft 15000 sqft (land),S$ 1.87 psf,Good Class Bungalow,Partially Furnished,,2h
Parc Olympia,60 Flora Drive,Ready to move,1800,1,1,495 sqft,S$ 3.64 psf,Condominium,,2015,2h
8 @ Mount Sophia,8 Mount Sophia,Available from 1 Jul,6500,3,3,1464 sqft,S$ 4.44 psf,Condominium,Partially Furnished,2007,2h
Lilydale,550 Yishun Ave 6,,2400,3,3,1205 sqft,S$ 1.99 psf,Condominium,Fully Furnished,2003,2h
Eng Kong Green,33 Eng Kong Crescent,Ready to move,2600,3,2,1044 sqft,S$ 2.49 psf,Condominium,,1999,2h
The Poiz Residences,2 Meyappa Chettiar Road,Ready to move,2500,1,1,441 sqft,S$ 5.67 psf,Apartment,,2020,2h
Symphony Suites,3 Yishun Close,Ready to move,2800,3,3,915 sqft,S$ 3.06 psf,Condominium,,,2h
Kingsford Waterbay,Upper Serangoon View,Ready to move,1800,1,1,500 sqft,S$ 3.60 psf,Apartment,Fully Furnished,2017,2h
Millage,55 Changi Road,Ready to move,2400,1,1,936 sqft,S$ 2.56 psf,Condominium,Partially Furnished,2016,2h
The Sail @ Marina Bay,4 Marina Boulevard,Ready to move,3100,1,1,670 sqft,S$ 4.63 psf,Condominium,Partially Furnished,2008,2h
Northoaks,20 Woodlands Cresent,Ready to move,2650,3,3,1248 sqft,S$ 2.12 psf,Condominium,Fully Furnished,2001,2h
Cuscaden Residences,26 Cuscaden Road,Ready to move,5800,3,2,1485 sqft,S$ 3.91 psf,Condominium,Partially Furnished,2002,2h
City Square Residences,8 Kitchener Link,Available from 8 Apr,3600,2,2,840 sqft,S$ 4.29 psf,Condominium,Fully Furnished,2009,2h
The Vales,85 Anchorvale Crescent,Ready to move,900,,,1200 sqft,S$ 0.75 psf,Executive Condominium,Fully Furnished,2018,2h
Grande Vista,2 Cactus Drive,Ready to move,3200,3,2,1700 sqft,S$ 1.88 psf,Condominium,Partially Furnished,1993,2h
Blossoms @ Woodleigh,12 Woodleigh Close,Ready to move,3200,2,2,1001 sqft,S$ 3.20 psf,Condominium,Partially Furnished,2007,2h
Tan Chin Tuan Mansion,42 Cairnhill Road,,15000,4,4,3900 sqft,S$ 3.85 psf,Condominium,Partially Furnished,2008,2h
Caribbean @ Keppel Bay,12 Keppel Bay Drive,Ready to move,5800,3,3,1249 sqft,S$ 4.64 psf,Condominium,Partially Furnished,2004,2h
329 Tah Ching Road,329 Tah Ching Road,Ready to move,2300,3,2,1302 sqft,S$ 1.77 psf,HDB Apartment,Fully Furnished,,2h
Guilin View,28 Bukit Batok Street 52,Ready to move,2450,2,2,861 sqft,S$ 2.85 psf,Condominium,Fully Furnished,2000,2h
385 Bukit Batok West Avenue 5,385 Bukit Batok West Avenue 5,Ready to move,2000,3,2,1000 sqft,S$ 2.00 psf,HDB Apartment,Fully Furnished,,2h
Wandervale,Choa Chu Kang Avenue 3,Ready to move,800,,,80 sqft,S$ 10.00 psf,Executive Condominium,Fully Furnished,2019,2h
Gallop Gables,70 Farrer Road,Ready to move,9500,5,5,2658 sqft,S$ 3.57 psf,Condominium,Partially Furnished,1997,2h
The Cascadia,921 Bukit Timah Road,Ready to move,5300,4,2,1500 sqft,S$ 3.53 psf,Condominium,Fully Furnished,2011,2h
Dunman View,102 Haig Road,Ready to move,3300,3,3,1236 sqft,S$ 2.67 psf,Condominium,,2004,2h
Balmoral Hills,9 Balmoral Park,Ready to move,8500,4,4,3165 sqft,S$ 2.69 psf,Condominium,Partially Furnished,2007,2h
Leonie Gardens,23 Leonie Hill,Ready to move,11500,5,5,3261 sqft,S$ 3.53 psf,Condominium,Partially Furnished,1993,2h
114 Bukit Batok West Avenue 6,114 Bukit Batok West Avenue 6,Ready to move,2300,3,2,1194 sqft,S$ 1.93 psf,HDB Apartment,,,2h
469 Choa Chu Kang Avenue 3,469 Choa Chu Kang Avenue 3,Ready to move,325,,,200 sqft,S$ 1.62 psf,HDB Apartment,Fully Furnished,,2h
TANGLIN GOOD CLASS BUNGALOW,,Ready to move,32000,5,7,10000 sqft 22000 sqft (land),S$ 1.45 psf,Good Class Bungalow,Partially Furnished,,2h
TANGLIN GOOD CLASS BUNGALOW,CHATSWORTH ROAD,Ready to move,28000,5,5,9000 sqft 15000 sqft (land),S$ 1.87 psf,Good Class Bungalow,Partially Furnished,,2h
Parc Olympia,60 Flora Drive,Ready to move,1800,1,1,495 sqft,S$ 3.64 psf,Condominium,,2015,2h
8 @ Mount Sophia,8 Mount Sophia,Available from 1 Jul,6500,3,3,1464 sqft,S$ 4.44 psf,Condominium,Partially Furnished,2007,2h
Lilydale,550 Yishun Ave 6,,2400,3,3,1205 sqft,S$ 1.99 psf,Condominium,Fully Furnished,2003,2h
Eng Kong Green,33 Eng Kong Crescent,Ready to move,2600,3,2,1044 sqft,S$ 2.49 psf,Condominium,,1999,2h
The Poiz Residences,2 Meyappa Chettiar Road,Ready to move,2500,1,1,441 sqft,S$ 5.67 psf,Apartment,,2020,2h
Symphony Suites,3 Yishun Close,Ready to move,2800,3,3,915 sqft,S$ 3.06 psf,Condominium,,,2h
Symphony Suites,3 Yishun Close,Ready to move,2800,3,3,915 sqft,S$ 3.06 psf,Condominium,,,2h
152 Lorong 2 Toa Payoh,152 Lorong 2 Toa Payoh,Ready to move,3000,3,2,1184 sqft,S$ 2.53 psf,HDB Apartment,,,2h
Braddell View,10 Braddell Hill,Ready to move,3000,3,3,1614 sqft,S$ 1.86 psf,Apartment,,1981,2h
The Gardens At Gerald,21 Gerald Drive,Ready to move,5500,5,5,4069 sqft,S$ 1.35 psf,Cluster House,,2007,2h
440 Jurong West Avenue 1,440 Jurong West Avenue 1,Ready to move,1800,2,2,732 sqft,S$ 2.46 psf,HDB Apartment,Fully Furnished,,2h
798 Woodlands Drive 72,798 Woodlands Drive 72,Ready to move,1900,3,2,1500 sqft,S$ 1.27 psf,HDB Apartment,Fully Furnished,,2h
150 Ang Mo Kio Avenue 5,150 Ang Mo Kio Avenue 5,Ready to move,1650,2,2,732 sqft,S$ 2.25 psf,HDB Apartment,Partially Furnished,,2h
Eight Courtyards,2 Canberra Drive,Available from 27 Mar,2650,3,2,980 sqft,S$ 2.70 psf,Condominium,Partially Furnished,2014,2h
808 Yishun Ring Road,808 Yishun Ring Road,Ready to move,2000,3,2,1100 sqft,S$ 1.82 psf,HDB Apartment,Fully Furnished,,2h
612 Clementi West Street 1,612 Clementi West Street 1,Ready to move,2400,3,2,1000 sqft,S$ 2.40 psf,HDB Apartment,Fully Furnished,,2h
The Nautical,93 Jalan Sendudok,Ready to move,1960,1,1,420 sqft,S$ 4.67 psf,Condominium,Partially Furnished,2016,2h
Urbana,1 River Valley Close,Ready to move,6100,4,3,1475 sqft,S$ 4.14 psf,Condominium,Partially Furnished,2007,2h
City Gate,371 Beach Road,Ready to move,3300,2,1,570 sqft,S$ 5.79 psf,Apartment,Partially Furnished,2019,2h
City Gate,371 Beach Road,Ready to move,2700,1,1,452 sqft,S$ 5.97 psf,Apartment,Fully Furnished,2019,2h
Suites @ Braddell,56 Braddell Road,Ready to move,1960,1,1,441 sqft,S$ 4.44 psf,Apartment,Partially Furnished,2015,2h
City Gate,371 Beach Road,Ready to move,2500,1,1,500 sqft,S$ 5.00 psf,Apartment,Fully Furnished,2019,2h
Concourse Skyline,300 Beach Road,Ready to move,4300,1,1,830 sqft,S$ 5.18 psf,Condominium,Partially Furnished,2012,2h
The Boutiq @ Killiney,145 Killiney Road,Ready to move,4500,2,2,936 sqft,S$ 4.81 psf,Condominium,Fully Furnished,2014,2h
635 Yishun Street 61,635 Yishun Street 61,Ready to move,620,,,150 sqft,S$ 4.13 psf,HDB Apartment,Fully Furnished,,2h
Visioncrest,33 Oxley Rise,Ready to move,4000,2,2,904 sqft,S$ 4.42 psf,Apartment,Fully Furnished,2007,2h
79B Toa Payoh Central,79B Toa Payoh Central,Ready to move,850,,,100 sqft,S$ 8.50 psf,HDB Apartment,,,2h
Pine Grove,1B Pine Grove,Available from 1 Apr,3400,3,3,1755 sqft,S$ 1.94 psf,Condominium,Unfurnished,1984,2h
Thomson Impressions,20 Lorong Puntong,Ready to move,2200,1,1,463 sqft,S$ 4.75 psf,Condominium,,2019,2h
Coralis,530 Joo Chiat Road,Ready to move,3600,2,2,904 sqft,S$ 3.98 psf,Condominium,,2014,2h
Mandarin Gardens,1 Siglap Road,Ready to move,5800,3,5,3800 sqft,S$ 1.53 psf,Condominium,Partially Furnished,1986,2h
Park Infinia @ Wee Nam,2 Lincoln Road,Ready to move,6500,3,3,1335 sqft,S$ 4.87 psf,Condominium,,2008,2h
475 Pasir Ris Drive 6,475 Pasir Ris Drive 6,Ready to move,2050,3,2,1227 sqft,S$ 1.67 psf,HDB Apartment,,,2h
Rafflesia Condo,31 Bishan Street 21,Ready to move,3500,2,2,918 sqft,S$ 3.81 psf,Condominium,Fully Furnished,2002,2h
Eastwood Park,Eastwood Walk,Ready to move,6300,5,5,4200 sqft 2754 sqft (land),S$ 2.29 psf,Semi-Detached House,,1998,2h
The Glades,16 Bedok Rise,Ready to move,2888,2,3,850 sqft,S$ 3.40 psf,Condominium,Fully Furnished,2017,2h
The Glades,16 Bedok Rise,Ready to move,2888,2,3,850 sqft,S$ 3.40 psf,Condominium,Fully Furnished,2017,2h
The Callista,22 Mar Thoma Road,Available from 13 Mar,2800,3,2,1108 sqft,S$ 2.53 psf,Apartment,Fully Furnished,2006,2h
Orchard Scotts,11 Anthony Road,Ready to move,8500,3,3,1647 sqft,S$ 5.16 psf,Condominium,Partially Furnished,2007,2h
Bella Casita,7 Ipoh Lane,Available from 15 Mar,2100,1,1,517 sqft,S$ 4.06 psf,Condominium,Fully Furnished,2013,2h
Soleil @ Sinaran,6 Sinaran Drive,Ready to move,3300,,,506 sqft,S$ 6.52 psf,Condominium,,2012,2h
214 Yishun Street 21,214 Yishun Street 21,Ready to move,2200,3,2,990 sqft,S$ 2.22 psf,HDB Apartment,Partially Furnished,,2h
Space @ Kovan,9 Yio Chu Kang Road,,2000,1,1,549 sqft,S$ 3.64 psf,Condominium,Partially Furnished,2014,2h
Oasis @ Elias,60 - 72 Elias Road,Available from 15 May,2400,2,2,980 sqft,S$ 2.45 psf,Condominium,Fully Furnished,2012,2h
118 Clementi Street 13,118 Clementi Street 13,Ready to move,2100,3,2,1119 sqft,S$ 1.88 psf,HDB Apartment,Unfurnished,,2h
Echelon,7 Alexandra View,Available from 25 Mar,3600,2,2,732 sqft,S$ 4.92 psf,Condominium,Partially Furnished,2016,2h
Stellar Rv,408 River Valley Road,Ready to move,2700,1,1,517 sqft,S$ 5.22 psf,Condominium,Partially Furnished,2015,2h
660C Jurong West Street 64,660C Jurong West Street 64,Ready to move,2500,3,2,1184 sqft,S$ 2.11 psf,HDB Apartment,Fully Furnished,,2h
Rv Residences,467 River Valley Road,Ready to move,3600,2,2,678 sqft,S$ 5.31 psf,Condominium,Fully Furnished,2014,2h
8 @ Woodleigh,6 Woodleigh Close,Available from 1 May,3700,3,3,1098 sqft,S$ 3.37 psf,Condominium,Partially Furnished,2012,2h
Eastrees,3 East Coast Drive,Ready to move,7600,4,5,4101 sqft 2000 sqft (land),S$ 3.80 psf,Cluster House,Partially Furnished,2016,2h
Room Rental in Terraced house  Joo Chiat,99 Carpmael Road,Ready to move,1000,,,200 sqft 1800 sqft (land),S$ 0.56 psf,Terraced House,Fully Furnished,,2h
Soleil @ Sinaran,6 Sinaran Drive,,2999,,,506 sqft,S$ 5.93 psf,Condominium,Fully Furnished,2012,2h
Rv Residences,463 River Valley Road,Ready to move,3500,2,2,689 sqft,S$ 5.08 psf,Condominium,Fully Furnished,2014,2h
MDIS Residences@Stirling,503 Stirling Road,Ready to move,535,,,216 sqft,S$ 2.48 psf,Condominium,Fully Furnished,2013,2h
Soleil @ Sinaran,6 Sinaran Drive,Ready to move,3000,,,495 sqft,S$ 6.06 psf,Condominium,,2012,2h
City Gate,371 Beach Road,Ready to move,3200,2,1,560 sqft,S$ 5.71 psf,Condominium,Partially Furnished,2019,2h
City Gate,371 Beach Road,Ready to move,2400,1,1,500 sqft,S$ 4.80 psf,Condominium,Partially Furnished,2019,2h
Aspen LinQ,15 Institution Hill,Ready to move,2500,1,2,571 sqft,S$ 4.38 psf,Condominium,,2016,2h
City Gate,371 Beach Road,Ready to move,3300,2,1,570 sqft,S$ 5.79 psf,Condominium,Partially Furnished,2019,2h
City Gate,371 Beach Road,Ready to move,2500,1,1,410 sqft,S$ 6.10 psf,Condominium,Partially Furnished,2019,2h
City Gate,371 Beach Road,Ready to move,2550,1,1,420 sqft,S$ 6.07 psf,Condominium,Partially Furnished,2019,2h
City Gate,371 Beach Road,Ready to move,2700,1,1,452 sqft,S$ 5.97 psf,Apartment,,2019,2h
City Gate,371 Beach Road,Ready to move,3300,2,1,615 sqft,S$ 5.37 psf,Apartment,,2019,2h
Spottiswoode Residences,48 Spottiswoode Park Road,Available from 30 Apr,3000,1,1,603 sqft,S$ 4.98 psf,Condominium,Fully Furnished,2014,2h
The Gardens @ Bishan,1 Sin Min Walk,Ready to move,3000,3,3,1206 sqft,S$ 2.49 psf,Condominium,Fully Furnished,2004,2h
Soleil @ Sinaran,6 Sinaran Drive,Ready to move,3000,,,495 sqft,S$ 6.06 psf,Condominium,,2012,2h
City Gate,371 Beach Road,Ready to move,3200,2,1,560 sqft,S$ 5.71 psf,Condominium,Partially Furnished,2019,2h
City Gate,371 Beach Road,Ready to move,2400,1,1,500 sqft,S$ 4.80 psf,Condominium,Partially Furnished,2019,2h
Aspen LinQ,15 Institution Hill,Ready to move,2500,1,2,571 sqft,S$ 4.38 psf,Condominium,,2016,2h
City Gate,371 Beach Road,Ready to move,3300,2,1,570 sqft,S$ 5.79 psf,Condominium,Partially Furnished,2019,2h
City Gate,371 Beach Road,Ready to move,2500,1,1,410 sqft,S$ 6.10 psf,Condominium,Partially Furnished,2019,2h
City Gate,371 Beach Road,Ready to move,2550,1,1,420 sqft,S$ 6.07 psf,Condominium,Partially Furnished,2019,2h
City Gate,371 Beach Road,Ready to move,2700,1,1,452 sqft,S$ 5.97 psf,Apartment,,2019,2h
City Gate,371 Beach Road,Ready to move,3300,2,1,615 sqft,S$ 5.37 psf,Apartment,,2019,2h
Spottiswoode Residences,48 Spottiswoode Park Road,Available from 30 Apr,3000,1,1,603 sqft,S$ 4.98 psf,Condominium,Fully Furnished,2014,2h
The Gardens @ Bishan,1 Sin Min Walk,Ready to move,3000,3,3,1206 sqft,S$ 2.49 psf,Condominium,Fully Furnished,2004,2h
245 Bishan Street 22,245 Bishan Street 22,Ready to move,1000,,,200 sqft,S$ 5.00 psf,HDB Apartment,Fully Furnished,,2h
Jalan Mas Puteh,Jalan Mas Puteh,Ready to move,4000,3,2,2000 sqft 1800 sqft (land),S$ 2.22 psf,Corner Terrace,Partially Furnished,,2h
Trilive,111 Tampines Road,Ready to move,2000,1,1,400 sqft,S$ 5.00 psf,Condominium,Partially Furnished,2018,2h
Cairnhill Nine,9 Cairnhill Road,Ready to move,4500,2,1,754 sqft,S$ 5.97 psf,Condominium,,2017,2h
The Paterson Edge,26 Paterson Road,Ready to move,4000,2,3,1012 sqft,S$ 3.95 psf,Apartment,Fully Furnished,1999,2h
Cairnhill Nine,15 Cairnhill Road,Ready to move,4500,1,1,592 sqft,S$ 7.60 psf,Condominium,,2017,2h
Leedon Residence,6 Leedon Heights,Available from 1 Apr,13000,4,5,2497 sqft,S$ 5.21 psf,Condominium,,2015,2h
North Park Residences,15 Yishun Central 1,Ready to move,3050,2,2,775 sqft,S$ 3.94 psf,Condominium,Partially Furnished,2020,2h
Ever Lodge,685 Geylang Road,Ready to move,1000,,,150 sqft,S$ 6.67 psf,Apartment,Fully Furnished,1999,2h
Barker Road,Barker Road,Ready to move,10000,5,4,2800 sqft 1800 sqft (land),S$ 5.56 psf,Corner Terrace,Partially Furnished,,2h
Ritz Mansions,346 Balestier Road,Ready to move,3500,3,2,1282 sqft,S$ 2.73 psf,Apartment,Partially Furnished,1995,2h
Workers Quarters Tanjong Katong road,,Ready to move,2300,4,2,1800 sqft,S$ 1.28 psf,Walk-up,Unfurnished,,2h
230 Compassvale Walk,230 Compassvale Walk,Ready to move,2100,3,2,1000 sqft,S$ 2.10 psf,HDB Apartment,Fully Furnished,,2h
The Waterline,167 POH HUAT ROAD WEST,Ready to move,2950,3,2,1012 sqft,S$ 2.92 psf,Condominium,Partially Furnished,2013,2h
Heritage View,8 Dover Rise,Ready to move,4500,3,3,1313 sqft,S$ 3.43 psf,Condominium,Partially Furnished,2000,2h
Altez,16 Enggor Street,Ready to move,8500,3,3,1507 sqft,S$ 5.64 psf,Condominium,Partially Furnished,2014,2h
498 Jurong West Street 41,498 Jurong West Street 41,Ready to move,2000,2,2,689 sqft,S$ 2.90 psf,HDB Apartment,Partially Furnished,,2h
20 Bedok South Road,20 Bedok South Road,Ready to move,2600,3,2,1259 sqft,S$ 2.07 psf,HDB Apartment,Partially Furnished,,2h
North Park Residences,15 Yishun Central 1,Ready to move,3850,3,2,969 sqft,S$ 3.97 psf,Condominium,Fully Furnished,2020,2h
North Park Residences,15 Yishun Central 1,Ready to move,3850,3,2,969 sqft,S$ 3.97 psf,Condominium,Fully Furnished,2020,2h
Sant Ritz,1 Pheng Geck Avenue,Ready to move,5200,3,2,1517 sqft,S$ 3.43 psf,Condominium,Partially Furnished,2016,2h
Principal Garden,Prince Charles Cres,Ready to move,2750,1,1,495 sqft,S$ 5.56 psf,Condominium,Fully Furnished,2019,2h
River Isles,Punggol Central,Available from 17 Mar,1800,1,1,450 sqft,S$ 4.00 psf,Condominium,Partially Furnished,2016,2h
Blue Horizon,21 West Coast Crescent,Ready to move,3300,3,3,1151 sqft,S$ 2.87 psf,Condominium,Fully Furnished,2005,2h
Hundred Trees,85 West Coast Drive,Ready to move,2900,3,2,915 sqft,S$ 3.17 psf,Condominium,Fully Furnished,2013,2h
Maple Woods,985 Bukit Timah Road,Ready to move,4900,3,3,1500 sqft,S$ 3.27 psf,Condominium,Fully Furnished,1997,2h
627 Hougang Avenue 8,627 Hougang Avenue 8,Ready to move,750,,,150 sqft,S$ 5.00 psf,HDB Apartment,Fully Furnished,,2h
Valley Park,483 River Valley Road,Ready to move,4000,2,2,1108 sqft,S$ 3.61 psf,Condominium,Fully Furnished,1997,2h
City Square Residences,8 Kitchener Link,Ready to move,3300,2,2,870 sqft,S$ 3.79 psf,Condominium,Fully Furnished,2009,2h
Botannia,27 West Coast Park,Ready to move,6800,5,4,2700 sqft,S$ 2.52 psf,Condominium,Partially Furnished,2009,2h
The Petals,85 Hillview Avenue,Available from 1 Apr,3200,3,2,1275 sqft,S$ 2.51 psf,Condominium,Partially Furnished,2002,2h
Tropical Semi-Detached in Coronation,,Ready to move,12000,4,4,2890 sqft 2900 sqft (land),S$ 4.14 psf,Semi-Detached House,Partially Furnished,,2h
Renovated Tropical Semi-Detached,,Ready to move,8200,4,4,2800 sqft 2800 sqft (land),S$ 2.93 psf,Semi-Detached House,Partially Furnished,,2h
Renovated - Tropical Town House,,Ready to move,10000,5,4,2800 sqft,S$ 3.57 psf,Town House,Partially Furnished,,2h
Barker Road Terrace house,,Ready to move,7000,4,3,2500 sqft 2500 sqft (land),S$ 2.80 psf,Terraced House,Partially Furnished,,2h
Renovated - Tropical Bungalow with pool,Coronation Rd West,Ready to move,16000,5,6,4500 sqft 4800 sqft (land),S$ 3.33 psf,Bungalow House,Partially Furnished,,2h
Botannia,27 West Coast Park,Ready to move,6200,4,4,3380 sqft,S$ 1.83 psf,Condominium,Unfurnished,2009,2h
The Tembusu,107 Tampines Road,Ready to move,1950,1,1,484 sqft,S$ 4.03 psf,Condominium,Partially Furnished,2017,2h
Cyan,6 Keng Chin Road,Available from 1 May,4600,2,2,980 sqft,S$ 4.69 psf,Condominium,Partially Furnished,2014,2h
Queen Astrid Park,Queen Astrid Park,Ready to move,52000,6,8,12000 sqft 23500 sqft (land),S$ 2.21 psf,Good Class Bungalow,Partially Furnished,,2h
Tropical Bungalow @ Sentosa,,Available from 15 Apr,22000,3,4,5600 sqft 7167 sqft (land),S$ 3.07 psf,Bungalow House,Partially Furnished,,2h
8 Ghim Moh Road,8 Ghim Moh Road,Ready to move,3000,3,2,1280 sqft,S$ 2.34 psf,HDB Apartment,Fully Furnished,,2h
One Tree Hill Residences,One Tree Hill,Ready to move,8300,4,5,2300 sqft,S$ 3.61 psf,Condominium,Partially Furnished,2008,2h
408 Woodlands Street 41,408 Woodlands Street 41,Ready to move,2200,3,2,1410 sqft,S$ 1.56 psf,HDB Apartment,Fully Furnished,,2h
D11 Br New Detached house,Kheam Hock area,Ready to move,25500,5,6,7500 sqft 5500 sqft (land),S$ 4.64 psf,Detached House,Partially Furnished,2018,2h
